HeaderCURVE,idCHAR,nameCHAR,typeCHAR,descriptionCHAR,method_interpolationCHAR,nodesCHAR,rates_baseCHAR,floorNMBR,capNMBR
Curve,IR_EUR,IR_EUR,Discount Curve,EUR-SWAP Curve,monotone-convex,365|1095|1825|3650|7300|10950|21900,-0.00519251|-0.00508595|-0.00367762|0.00185694|0.00776253|0.00999986|0.00123,,
Curve,IR_USD,IR_USD,Discount Curve,USD-SWAP Curve,monotone-convex,365|1095|1825|3650|7300|10950|21900,0.00119251|0.00208595|0.00127762|0.00385694|0.01276253|0.01399986|0.00163,,
Curve,SPREAD_EUR_HY,SPREAD_EUR_HY,Spread Curve,SPREAD_EUR_High Yield Curve,linear,1825,0.02,,
Curve,SPREAD_USD_HY,SPREAD_USD_HY,Spread Curve,SPREAD_USD_High Yield Curve,linear,1825,0.03,,
Curve,SPREAD_USD_AAA,SPREAD_USD_AAA,Spread Curve,SPREAD_USD_AAA Curve,linear,1825,0.01,0.005,0.09
Curve,SPREAD_USD_AA,SPREAD_USD_AA,Spread Curve,SPREAD_USD_AA Curve,linear,1825,0.01,0.02,0.05
Curve,SPREAD_USD_A,SPREAD_USD_A,Spread Curve,SPREAD_USD_A Curve,linear,1825,0.01,,
Curve,SPREAD_USD_BBB,SPREAD_USD_BBB,Spread Curve,SPREAD_USD_BBB Curve,linear,1825,0.01,,
Curve,IR_SWAP_EUR,IR-EUR-SWAP,Discount Curve,Validation EUR-SWAP Curve,linear,30|91|365|730|1095|1460|1825|2190|2555|2920|3285|3650|4015|4380|4745|5110|5475|5840|6205|6570|6935|7300,0.000100265|0.000100271|0.000100273|0.000100137|0.000100091|0.000962364|0.002313871|0.003769748|0.005216999|0.006609556|0.007915012|0.00910955|0.010182873|0.011154924|0.012037775|0.012791527|0.013386507|0.013820413|0.014163828|0.014477441|0.014810935|0.015199508,,
Curve,SPREAD_EUR_FIN_A,SPREAD_EUR_FIN_A,Spread Curve,Validation EUR-SPREAD-FIN-A Curve,linear,30|91|365|730|1095|1460|1825|2190|2555|2920|3285|3650|4015|4380|4745|5110|5475|5840|6205|6570|6935|7300,0.000889985|0.001190459|0.002461124|0.003969898|0.005296868|0.006466348|0.007500884|0.00841577|0.009227929|0.009950715|0.010597138|0.011174018|0.011173183|0.011172487|0.011174222|0.011173581|0.011172997|0.011172487|0.011173809|0.011173338|0.01117289|0.011172487,,
Curve,SPREAD_EUR_FIN_BBB,SPREAD_EUR_FIN_BBB,Spread Curve,Validation EUR-SPREAD-FIN-BBB Curve,linear,30|91|365|730|1095|1460|1825|2190|2555|2920|3285|3650|4015|4380|4745|5110|5475|5840|6205|6570|6935|7300,0.002209249|0.002633764|0.004428764|0.006558808|0.00843289|0.010084713|0.011546514|0.012838739|0.013985893|0.015006829|0.015920199|0.016735032|0.016733781|0.016732738|0.016735337|0.016734377|0.016733503|0.016732738|0.016734718|0.016734012|0.016733342|0.016732738,,
HeaderAGGREGATEDCURVE,idCHAR,nameCHAR,typeCHAR,descriptionCHAR,method_interpolationCHAR,nodesCHAR,incrementsCHAR,compounding_typeCHAR,compounding_freqCHAR,day_count_conventionCHAR,floorNMBR,capNMBR
Curve,AGGR_SPREAD_USD_BBB,AGGR_SPREAD_USD_BBB,Aggregated Curve,Aggregated Spread Curve USD BBB,linear,1825,SPREAD_USD_AAA|SPREAD_USD_AA|SPREAD_USD_A|SPREAD_USD_BBB,,,,,
Curve,AGGR_IR_USD_EUR,AGGR_IR_USD_EUR,Aggregated Curve,Aggregated Spread Curve EUR USD,linear,1825|3650,IR_EUR|IR_USD,,,,,
Curve,AGGR_EUR_FIN_BBB,AGGR_EUR_FIN_BBB,Aggregated Curve,Aggregated Spread Curve EUR USD,monotone-convex,30|91|365|730|1095,IR_SWAP_EUR|SPREAD_EUR_FIN_BBB,simple,annual,act/365,,
HeaderINDEX,idCHAR,nameCHAR,typeCHAR,currencyCHAR,descriptionCHAR,value_baseNMBR
Index,EQ_DE,DAX30,Equity Index,EUR,DAX Equity Index German Blue Chips,9820
Index,COM_GOLD,Gold,Commodity Index,USD,Gold 1 Ounce USD,1073
Index,FX_EURUSD,EUR_USD,Exchange Rate,EUR,EUR USD Exchange rate,1.08
Index,FX_EURCAD,EUR_CAD,Exchange Rate,EUR,EUR CAD Exchange rate,1.25
